,ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS,AS MONACO,EA7 EMPORIO ARMANI MILAN,ZALGIRIS KAUNAS,FC BARCELONA,BASKONIA VITORIA-GASTEIZ,PARTIZAN MOZZART BET BELGRADE,FC BAYERN MUNICH,REAL MADRID,MACCABI PLAYTIKA TEL AVIV,LDLC ASVEL VILLEURBANNE,FENERBAHCE BEKO ISTANBUL,OLYMPIACOS PIRAEUS,PARIS BASKETBALL,CRVENA ZVEZDA MERIDIANBET BELGRADE,VIRTUS SEGAFREDO BOLOGNA,ANADOLU EFES ISTANBUL
0,0,142,76,0,0,0,0,4,60,0,0,0,1342,8143,48,185,0,0
1,0,1211,601,50,0,42,0,37,1074,1,0,0,3763,1331,699,1191,0,0
2,0,1903,1035,175,0,172,0,226,1362,29,0,0,1677,329,965,2126,0,1
3,0,1662,1180,347,1,354,0,592,1560,103,0,0,1077,109,1177,1828,0,10
4,0,1387,1406,536,7,599,0,922,1434,190,0,0,717,44,1247,1475,0,36
5,0,1172,1361,777,11,832,6,1237,1222,351,0,4,553,32,1220,1118,0,104
6,0,920,1292,1032,30,1086,17,1393,1105,512,0,21,364,8,1184,804,0,232
7,0,717,1157,1196,53,1298,48,1460,908,681,0,69,265,3,1124,562,0,459
8,0,451,899,1434,108,1471,139,1360,641,936,0,201,169,1,968,367,0,855
9,0,253,630,1399,259,1482,312,1164,345,1183,0,503,57,0,723,187,0,1503
10,0,122,232,1268,467,1248,623,787,189,1449,0,1028,15,0,393,98,0,2081
11,0,48,104,980,776,799,1172,500,79,1768,0,1507,1,0,178,44,0,2044
12,0,10,27,562,1334,422,1968,232,19,1584,1,2389,0,0,65,12,7,1368
13,0,1,0,199,2558,161,2751,77,2,951,7,2348,0,0,8,3,58,876
14,0,1,0,44,4333,34,2766,9,0,261,51,1829,0,0,1,0,257,414
15,260,0,0,1,63,0,197,0,0,1,2361,97,0,0,0,0,7003,17
16,1187,0,0,0,0,0,1,0,0,0,6544,4,0,0,0,0,2264,0
17,8553,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,411,0
